npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
40600635,SMKS YPPP WONOMULYO,Swasta,A,Kab. Polewali Mandar,20,12,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Akuntansi | Akuntansi dan Keuangan Lembaga | Layanan Penunjang Keperawatan dan Caregiving | Pekerjaan Sosial | Teknik Instalasi Tenaga Listrik | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Ketenagalistrikan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,902,31
40604626,UPTD SMKN 1 SARJO,Negeri,B,Kab. Pasangkayu,10,6,Busana | Desain dan Produksi Busana | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif,253,12
40601056,UPTD SMKN 1 MEHALAAN,Negeri,C,Kab. Mamasa,4,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,69,3
40601313,UPTD SMKN 3 MAJENE,Negeri,B,Kab. Majene,16,8,Agribisnis Pengolahan Hasil Perikanan | Agribisnis Perikanan | Agribisnis Perikanan Payau dan Laut | Agriteknologi Pengolahan Hasil Pertanian | Nautika Kapal Niaga | Nautika Kapal Penangkap Ikan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,374,19
69774918,SMKS TRANS PRIMA TOMMO,Swasta,C,Kab. Mamuju,2,1,Teknik Kendaraan Ringan Otomotif,10,2
69940185,SMKS BINA KARYA,Swasta,C,Kab. Mamuju Tengah,3,2,Agribisnis Tanaman Pangan dan Hortikultura | Teknik Komputer dan Jaringan,102,6
40602429,UPTD SMKN 1 PASANGKAYU,Negeri,C,Kab. Pasangkayu,10,7,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Pengelasan | Teknik Pengelasan dan Fabrikasi Logam,170,10
40604384,SMKS PRIMA KARYA TOPOYO,Swasta,C,Kab. Mamuju Tengah,6,4,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif,16,6
40601491,UPTD SMKN 5 MAJENE,Negeri,B,Kab. Majene,20,10,"Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Teknik Audio Video | Teknik Elektronika | Teknik Instalasi Tenaga Listrik | Teknik Kendaraan Ringan | Teknik Ketenagalistrikan | Teknik Otomotif | Teknik Pemanasan, Tata Udara, dan Pendinginan (Heating, Ventilation, and Air Conditioning) | Teknik Sepeda Motor",428,23
40604358,UPTD SMKN 1 TAPALANG BARAT,Negeri,B,Kab. Mamuju,15,7,Desain Komunikasi Visual | Teknik Audio Video | Teknik Elektronika | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,198,12
