npsn,nama,status,akreditasi,kab_kota,provinsi,alamat,lintang,bujur,jml_siswa,total_rombel,jml_jurusan,jurusan,url
40600635,SMKS YPPP WONOMULYO,Swasta,A,Kab. Polewali Mandar,Prov. Sulawesi Barat,GATOT SUBROTO NO. 01,-3.40200000,119.21950000,902,31,20,,https://smk.kemendikdasmen.go.id/detail-sekolah/9C5CA9AE-46BA-44D3-A09E-E66A1DA82124
40604626,UPTD SMKN 1 SARJO,Negeri,B,Kab. Pasangkayu,Prov. Sulawesi Barat,JL.TRANS SULAWESI,-0.90360000,119.53860000,253,12,10,,https://smk.kemendikdasmen.go.id/detail-sekolah/127B596A-3D2B-4E1D-A74C-1E618A591BB4
40601056,UPTD SMKN 1 MEHALAAN,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,DESA MEHALAAN,-3.01610000,119.19840000,69,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/9851BC7E-7723-457D-B8BF-3E2684E9463D
40601313,UPTD SMKN 3 MAJENE,Negeri,B,Kab. Majene,Prov. Sulawesi Barat,JL. POROS MAJENE MAMUJU KM. 14 MAJENE,-3.48530000,118.89780000,374,19,16,,https://smk.kemendikdasmen.go.id/detail-sekolah/3CF3CCD3-EA3D-4FE3-94FC-BFB268830876
69774918,SMKS TRANS PRIMA TOMMO,Swasta,C,Kab. Mamuju,Prov. Sulawesi Barat,TOMMO V,-2.27150000,119.20790000,10,2,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/10D8B573-EF7E-4AC4-A874-C37062707D18
69940185,SMKS BINA KARYA,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,Jl. Poros Lemo-Lemo,-2.30490000,119.17930000,102,6,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/416C98B4-DE83-483F-9215-9C8C4CB18A62
40602429,UPTD SMKN 1 PASANGKAYU,Negeri,C,Kab. Pasangkayu,Prov. Sulawesi Barat,Jl. Poros PT. PASANGKAYU,-1.20350000,119.44270000,170,10,10,,https://smk.kemendikdasmen.go.id/detail-sekolah/4BD2041C-38D8-4B69-8FA8-FB0905F7649B
40604384,SMKS PRIMA KARYA TOPOYO,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,JL. Poros Waeputeh,-2.06470000,119.27530000,16,6,6,,https://smk.kemendikdasmen.go.id/detail-sekolah/0C20D03B-DF9F-499A-80DA-03EBE7292831
40601491,UPTD SMKN 5 MAJENE,Negeri,B,Kab. Majene,Prov. Sulawesi Barat,JL. BALAI LATIHAN KERJA. KM. 4 POROS MAJENE MAMUJU,-3.55880000,118.94200000,428,23,20,,https://smk.kemendikdasmen.go.id/detail-sekolah/B3168896-F9A4-43D3-B7D5-0BD9938CF1B4
40604358,UPTD SMKN 1 TAPALANG BARAT,Negeri,B,Kab. Mamuju,Prov. Sulawesi Barat,PASABU KEC. TAPALANG BARAT,-2.85170000,118.82410000,198,12,15,,https://smk.kemendikdasmen.go.id/detail-sekolah/CC9CD6A3-8724-4CDC-9AFB-96C6F46E0669
